player_id,name,entity_kind,category_id,category_name,strategic_layer,type,subcategory,geography,reach,business_model,ownership_or_investors,ai_signal,ai_score,relevance,momentum,key_player,relationship,why_they_matter,description,recent_or_next_check,tags,source_status,source_needs,research_owner,requires_credentialed_data,is_signal_only,evidence_summary,source_ids,source_titles,source_urls,open_questions
bett-awards,BETT Awards,Monitoring signal,signals,"Capital, media & opportunity signals",Strategic signal layer,Recognition signal,Education technology awards and credibility opportunities,International,Education industry signal,Awards and recognition,To verify,Award categories may signal education AI positioning,2,2,2,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Awards can reveal positioning opportunities and credibility markers for learning products.,Education awards example for credibility and category mapping.,Validate award relevance and submission timing.,awards | education | credibility,Public award source linked; needs criteria review,Award source | Company source,Strategy / monitoring,FALSE,TRUE,"Official Bett sources validate education-technology awards, categories, and recognition opportunity surface.",bett_awards | bett_categories,Bett Awards | Bett Awards categories,https://uk.bettshow.com/awards | https://bettawards.com/categories/,Fit for Yousician/GuitarTuna positioning | Submission timing and category relevance
creative-europe,Creative Europe,Monitoring signal,signals,"Capital, media & opportunity signals",Strategic signal layer,Public funding signal,"Cultural, creative-sector, digital, and education funding opportunities",Europe,European cultural and creative sectors,Grants and public funding,European Union programme,"Research calls that connect culture, education, digital tools, and innovation",1,2,2,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Funding programmes can shape non-dilutive opportunities, partnerships, credibility, and strategic projects around music education.","Public funding example for culture, education, and creative-sector initiatives.","Track relevant calls, eligibility windows, consortium requirements, and education/music technology fit.",funding | public | Europe,Public funding source linked; needs eligibility review,Crunchbase | Programme source | Company source,Strategy / monitoring,FALSE,TRUE,European Commission sources validate funding programme and current calls for cultural and creative sectors.,creative_europe_programme | creative_europe_calls,Creative Europe programme | Creative Europe calls,https://commission.europa.eu/funding-and-tenders/find-funding/eu-funding-programmes/creative-europe_en | https://culture.ec.europa.eu/funding/calls,Eligibility of music-learning/digital projects | Consortium requirements and timing
guitar-tricks,Guitar Tricks,Company / product,learning,Learning apps & curricula,Core market,Structured guitar learning platform,"Large guitar lesson library, song tutorials, and guided beginner path",Global / US,Large online guitar education platform,Subscription lessons and tools,Guitar Tricks Inc.,"Research personalization, practice planning, and lesson recommendation signals",2,4,3,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Important guitar-specific subscription benchmark for curriculum depth, song-led learning, and adult beginner messaging.","Long-running online guitar lesson platform with structured courses, songs, and learning tools.","Track pricing, catalog claims, app rankings, and acquisition funnel.",guitar | lessons | subscription,Public app/product sources linked; needs Appfigures + traffic data,Appfigures | Similarweb | Company source,Competitive intel,TRUE,FALSE,"Guitar Tricks evidence now combines official/manual product page with App Store and Google Play sources for structured lessons, guided videos, and song-led beginner positioning.",guitar_tricks_official | guitar_tricks_google_play | guitar_tricks_app_store,Guitar Tricks | Guitar Tricks on Google Play | Guitar Tricks on App Store,https://www.guitartricks.com/ | https://play.google.com/store/apps/details?hl=en_US&id=com.guitartricks.gt | https://apps.apple.com/us/app/guitar-lessons-guitar-tricks/id931639254,Current traffic and app performance | Ownership/company structure confirmation | Subscription conversion benchmarks
truefire,TrueFire,Company / product,learning,Learning apps & curricula,Core market,Advanced guitar learning library,Large interactive lesson library and artist-led courses,Global / US,Large guitar education library,Subscription and course marketplace,TrueFire Studios,"Research discovery, curriculum navigation, and adaptive practice opportunities",2,3,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Relevant for depth, intermediate/advanced learners, teacher-led content, and long-tail guitar education.",Deep online guitar lesson library with interactive tools and specialist instructors.,"Track catalog growth, subscriptions, and teacher marketplace mechanics.",guitar | courses | advanced,Public product/app sources linked; needs traffic data,Appfigures | Similarweb | Company source,Competitive intel,TRUE,FALSE,"TrueFire evidence now includes official and app-store sources validating deep guitar lesson library, app availability, tabs, jam tracks, and course depth.",truefire_official | truefire_app_store | truefire_google_play,TrueFire | TrueFire on App Store | TrueFire on Google Play,https://truefire.com/online-guitar-lessons | https://apps.apple.com/us/app/truefire-guitar-lessons/id690143001 | https://play.google.com/store/apps/details?hl=en_US&id=com.truefire.android3,Traffic and app performance | Ownership/company structure | Teacher-marketplace economics
pickup-music,Pickup Music,Company / product,learning,Learning apps & curricula,Core market,Structured guitar learning platform,"Modern guitar pathways, challenges, artist series, and instructor feedback",Global / US,Growing modern guitar platform,Subscription and community,"Pickup Music, Inc.","Research personalized feedback, pathway design, and practice accountability",2,4,4,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Useful benchmark for higher-intent guitarists, modern aesthetics, community, and guided weekly practice.",Modern guitar-learning platform built around structured pathways and contemporary player identity.,"Track pathway design, instructor feedback model, artist partnerships, and pricing.",guitar | structured learning | community,Public product/app/company sources linked; needs traffic data,Appfigures | Similarweb | Company source,Competitive intel,TRUE,FALSE,"Pickup Music evidence now combines official product, course, pricing, app-store, and company-profile sources for structured guitar pathways, feedback, live lessons, and community positioning.",pickup_music_official | pickup_music_courses | pickup_music_app_store | pickup_music_pricing | pickup_music_linkedin,Pickup Music | Pickup Music courses | Pickup Music on the App Store | Pickup Music pricing | Pickup Music company page,https://www.pickupmusic.com/ | https://www.pickupmusic.com/courses | https://apps.apple.com/us/app/pickup-music-guitar-bass/id6503952069 | https://www.pickupmusic.com/pricing | https://www.linkedin.com/company/pickup-music-inc,Traffic and app performance | Ownership/current company structure | Instructor feedback economics
rocksmith-plus,Rocksmith+,Company / product,learning,Learning apps & curricula,Core market,Interactive song-learning service,"Real-instrument feedback for guitar, bass, and piano",Global,Major game-backed learning brand,Subscription learning service,Ubisoft,"Research note detection, adaptive difficulty, and song-based feedback mechanics",3,4,3,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Important benchmark for real-time feedback, licensed songs, game-like practice, and multi-instrument expansion.","Interactive music-learning service built around real instruments, song catalog, and feedback.","Track instrument expansion, catalog depth, pricing, and retention signals.",feedback | songs | Ubisoft,Needs app data + catalog + subscription performance,Appfigures,Competitive intel,FALSE,FALSE,"Ubisoft and app-store sources validate Rocksmith+ as a subscription learning service for guitar, bass, and piano with songs and real-instrument feedback.",rocksmith_plus_ubisoft | rocksmith_plus_app_store,Rocksmith+ by Ubisoft | Rocksmith+ on App Store,https://www.ubisoft.com/en-us/game/rocksmith/plus | https://apps.apple.com/au/app/rocksmith-fast-music-learning/id1571139807,Current song catalog strength | Subscription retention and platform split
gibson-app,Gibson App,Company / product,learning,Learning apps & curricula,Core market,Brand-backed guitar learning app,"Guitar learning path, real-time feedback, tuner, chords, and tabs",Global / US,Brand-backed learning app,App subscription and hardware bundle,Gibson,Research real-time feedback and brand-led personalization,3,4,3,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Shows how a major guitar brand can bundle learning with instrument purchase and beginner motivation.,Guitar-learning app connected to Gibson's hardware and brand ecosystem.,"Track app rankings, guitar-purchase bundles, and learning-path updates.",guitar | brand | feedback,Needs Appfigures + bundle performance,Appfigures,Competitive intel,TRUE,FALSE,"Official Gibson App and App Store sources validate guitar learning, real-time feedback, songs, tuner, chords, tabs, and Gibson brand bundle relevance.",gibson_app_official | gibson_app_store | gibson_official,Gibson App | Gibson App on App Store | Gibson,https://www.gibson.app/ | https://apps.apple.com/us/app/gibson-learn-to-play-guitar/id1116032929 | https://www.gibson.com/,App performance | Impact of guitar/amp purchase bundles
piano-marvel,Piano Marvel,Company / product,learning,Learning apps & curricula,Core market,Piano learning software,"Piano reading, songs, lessons, and teacher/classroom use",Global / US,Niche but established piano education software,Subscription and school/studio use,To verify,"Research assessment, practice data, and classroom feedback opportunities",2,3,2,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Useful for piano-specific pedagogy, assessment, reading practice, and school/studio crossover.",Piano learning software used for individual learners and teacher-supported environments.,"Track app data, school/studio usage, and assessment features.",piano | assessment | teachers,Needs app + school channel validation,Appfigures,Competitive intel,FALSE,FALSE,"Official and App Store sources validate Piano Marvel as piano learning software with songs, lessons, reading practice, and teacher/classroom relevance.",piano_marvel_official | piano_marvel_app_store,Piano Marvel | Piano Marvel on App Store,https://pianomarvel.com/ | https://apps.apple.com/us/app/piano-marvel-lessons-music/id1016751878,School/studio penetration | Current app and subscription performance
melodics,Melodics,Company / product,learning,Learning apps & curricula,Core market,Interactive instrument practice app,"Drums, keys, and pad-controller lessons with real-time feedback",Global,Niche but visible practice app,Subscription lessons,To verify,"Research timing feedback, adaptive practice, and gamified skills",3,3,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Broadens the map beyond guitar/piano and shows how feedback-led practice works for rhythm and production-adjacent skills.,"Interactive learning app for drums, keys, and finger drumming with real-time feedback.","Track product scope, app rankings, and creator/instrument partnerships.",drums | keys | feedback,Needs Appfigures + company source,Appfigures | Audience source | Company source,Competitive intel,TRUE,FALSE,"Official and App Store sources validate Melodics as an interactive practice app for drums, keys, and pads with real-time feedback.",melodics_official | melodics_app_store,Melodics | Melodics on App Store,https://melodics.com/ | https://apps.apple.com/us/app/melodics-drum-lessons-app/id6504540940,Instrument mix and retention | Fit with guitar-first Yousician strategy
chordify,Chordify,Company / product,practice,Song & practice ecosystems,Core habit layer,Song-chord practice utility,"Automatic chords, tuner, and play-along for guitar, piano, and ukulele",Global,Large chord utility,Freemium and subscription,Chordify B.V.,"Chord recognition, song parsing, and practice support",4,4,3,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Owns a high-intent moment between song discovery and self-guided practice.,Chord-recognition and play-along platform that turns songs into playable chord progressions.,"Track app rankings, chord-recognition features, and catalog/rights signals.",chords | songs | practice,Public app/support sources linked; needs traffic data,Appfigures | Similarweb | Legal/news | Company source,Practice & content,TRUE,FALSE,"Chordify evidence now combines official/manual site evidence, Google Play, App Store, and support documentation for automatic chords, tuner, app availability, and play-along workflows.",chordify_official | chordify_google_play | chordify_app_store | chordify_support_apps,Chordify | Chordify on Google Play | Chordify on App Store | Chordify app support,https://chordify.net/ | https://play.google.com/store/apps/details?hl=en_US&id=net.chordify.chordify | https://apps.apple.com/us/app/chordify-songs-chords-tuner/id1073624757 | https://support.chordify.net/hc/en-us/articles/360002273038-Chordify-Apps,Rights/copyright model | App performance and conversion | Ownership/current company structure
soundslice,Soundslice,Company / product,practice,Song & practice ecosystems,Core habit layer,Interactive notation and lesson platform,"Synced notation, video, transcription, teaching, and practice loops",Global / US,Specialist musician and teacher utility,"Freemium, teacher tools, and store",To verify,"Research transcription, notation, and adaptive practice opportunities",3,3,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Important for serious practice, teachers, transcription, and the gap between video lessons and playable notation.","Interactive sheet music platform combining notation, video/audio sync, looping, and teaching workflows.","Track creator storefront, teacher use, and transcription tooling.",notation | teachers | practice,Needs traffic + teacher-channel validation,Similarweb | Audience source,Practice & content,TRUE,FALSE,Official and teacher-facing sources validate Soundslice as an interactive notation/video practice and teaching platform.,soundslice_official | soundslice_teachers,Soundslice | Soundslice for teachers,https://www.soundslice.com/ | https://www.soundslice.com/teachers/,Teacher adoption scale | Transcription and AI roadmap
guitar-pro,Guitar Pro,Company / product,practice,Song & practice ecosystems,Core habit layer,Tab editor and practice software,"Tab reading, writing, playback, and mobile practice companion",Global,Established guitarist utility,Paid software and mobile app,Arobas Music,"Research AI tab creation, arrangement, and learning companion opportunities",2,4,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Sits at the intersection of tabs, practice, composition, and learning material creation.","Tablature reader/editor used by guitarists, teachers, transcribers, and musicians.","Track mobile app, Guitar Pro 8 ecosystem, and AI-assisted tab workflows.",tabs | notation | guitar,Needs app + usage source,Appfigures | Company source,Practice & content,FALSE,FALSE,Official and Google Play sources validate Guitar Pro as a major tab editor/reader with desktop and mobile practice relevance.,guitar_pro_official | guitar_pro_google_play,Guitar Pro | Guitar Pro on Google Play,https://www.guitar-pro.com/ | https://play.google.com/store/apps/details?hl=en_US&id=com.arobasmusic.guitarpro,Current mobile usage | AI tab creation and arrangement roadmap
youtube-artists,YouTube,Company / product,practice,Song & practice ecosystems,Core habit layer,Music discovery and creator platform,"Video lessons, music discovery, creator channels, Shorts, and artist tools",Global,Massive global platform,"Ads, subscription, creator monetization",Google / Alphabet,"Recommendation, Shorts discovery, creator tools, and AI content policy",4,5,5,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"A major substitute and funnel for self-guided learning; it shapes inspiration, discovery, and expectations of free content.","Default open platform for free music learning, creator-led lessons, discovery, and artist careers.","Track lesson search behavior, Shorts music discovery, creator partnerships, and AI policy.",video | creator | free learning,Needs internal funnel + YouTube trend monitoring,Audience source,Practice & content,FALSE,FALSE,"Official YouTube for Artists product/resource sources validate YouTube as artist-growth, Official Artist Channel, music-promotion, creator, and discovery infrastructure; local Yousician research also marks YouTube as a high-burden free-learning default.",youtube_artists | youtube_oac_support | research_market_cross_product,YouTube for Artists | YouTube for Artists resources | Market Research for both Yousician and GuitarTuna,https://artists.youtube/ | https://artists.youtube/resources/ | https://yousician.atlassian.net/wiki/spaces/Research/pages/6041960456,Yousician search/funnel impact | Creator partnership opportunities | Short-form lesson behavior
gibson,Gibson,Company / product,hardware,Hardware & retail channels,Acquisition layer,Hardware and brand ecosystem,"Guitars, brand aspiration, Gibson App bundles, and guitar culture",Global / US,Major guitar brand,"Hardware, content, and learning app bundle",Private,"Research connected learning, app feedback, and brand-led beginner journeys",2,4,3,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Hardware brands can capture learner intent before software choice and can bundle education into purchase moments.,Iconic guitar brand with a direct learning app and hardware-led beginner entry points.,"Track Gibson App bundles, beginner campaigns, artist content, and retail partnerships.",guitar | hardware | brand,Needs company + bundle performance source,Appfigures | Company source,Partnerships,FALSE,FALSE,Official Gibson source validates hardware brand relevance and explicit Gibson App bundling with guitar/amp purchases.,gibson_official | gibson_app_official,Gibson | Gibson App,https://www.gibson.com/ | https://www.gibson.app/,Bundle conversion | Retail/channel strategy for beginners
positive-grid,Positive Grid,Company / product,hardware,Hardware & retail channels,Acquisition layer,Smart amp and practice ecosystem,"Spark amps, app, tones, auto chords, backing tracks, and AI tone features",Global,Visible smart-amp ecosystem,"Hardware, app, software, and accessories",Private,"AI tone generation, chord detection, smart practice, and connected hardware",4,4,4,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Shows how hardware can become an app-led practice surface and compete for daily guitar time.,"Smart guitar amp and app ecosystem connecting gear, tones, songs, and practice.","Track Spark app, AI amp features, tone marketplace, and beginner practice loops.",smart amp | practice | AI,Needs sales + app data + AI feature tracking,Appfigures,Partnerships,FALSE,FALSE,"Official Positive Grid and Spark App sources validate smart amp, app-led practice, AI/smart features, tones, and connected guitar ecosystem relevance.",positive_grid_official | positive_grid_spark_app,Positive Grid | Positive Grid Spark App,https://www.positivegrid.com/ | https://www.positivegrid.com/pages/spark-app,Spark unit sales | AI feature adoption | Practice engagement through the app
reverb,Reverb,Channel / hardware,hardware,Hardware & retail channels,Acquisition layer,Music gear marketplace,"New, used, and vintage instrument marketplace",Global / US,Large music gear marketplace,Marketplace fees and seller tools,Creator Partners / Servco after Etsy sale closed in June 2025,"Research recommendations, pricing intelligence, and used-gear discovery",2,3,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Influences gear affordability, second-hand entry points, and the broader instrument-purchase journey.","Marketplace for buying and selling instruments, pedals, synths, and music gear.","Track post-Etsy ownership direction, beginner gear demand, marketplace categories, and brand partnerships.",marketplace | gear | used instruments,Official app and ownership-close sources linked; needs traffic + category data,Appfigures | Similarweb | Crunchbase | Company source,Partnerships,TRUE,FALSE,Reverb evidence now includes official app pages and the official Reverb ownership-change update confirming Creator Partners/Servco after the Etsy sale closed in June 2025; traffic and category scale still need metrics.,reverb_official | reverb_featured_app | reverb_google_play | reverb_sale_news,Reverb | Reverb app product page | Reverb on Google Play | Reverb next chapter as private company,https://reverb.com/ | https://reverb.com/featured/reverb-app | https://play.google.com/store/apps/details?hl=en_US&id=com.reverb.app | https://reverb.com/news/reverb-servco-creator-partners,Post-Etsy ownership strategy and operating changes | Beginner gear demand | Category and geography split
guitar-center,Guitar Center,Channel / hardware,hardware,Hardware & retail channels,Acquisition layer,Retail and lessons channel,"US retail, private lessons, and beginner gear journey",US,Large US music retail chain,"Retail, services, lessons, and financing",Private,"Research local lesson funnel, recommendations, and beginner bundles",1,3,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Combines gear purchase, local instruction, financing, and beginner commitment moments.","US music retailer offering instruments, services, and in-person music lessons.","Track lesson programs, beginner bundles, and retail-to-learning referral opportunities.",retail | lessons | US,Needs retail + lesson volume source,Company source,Partnerships,FALSE,FALSE,Official Guitar Center Lessons source validates retail-linked private lessons and offline learning channel relevance.,guitar_center_lessons,Guitar Center Lessons,https://www.guitarcenter.com/Services/Lessons/,Lesson volume and demographics | Referral or bundle potential
boss,BOSS / Roland,Company / product,hardware,Hardware & retail channels,Acquisition layer,Guitar technology and effects ecosystem,"Pedals, amps, multi-effects, loop stations, and connected practice gear",Global / Japan,Major instrument technology brand,"Hardware, software, and accessories",Roland,"Research connected effects, smart amps, loopers, and app-led practice workflows",2,3,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Important for how guitarists practice, shape sound, record, loop, and move toward creation.",Major guitar/bass effects and amp ecosystem under Roland.,"Track connected amp/effects launches, loop station use, and beginner-friendly gear.",effects | amps | Roland,Needs product roadmap + connected app source,Appfigures | Company source,Partnerships,FALSE,FALSE,"Official BOSS source validates guitar/bass effects, amps, loop stations, and performance/practice gear ecosystem relevance.",boss_official,BOSS,https://www.boss.info/us/,Connected app roadmap | Beginner-friendly practice product strategy
soundtrap,Soundtrap,Company / product,creation,Creation & production tools,Hobby expansion,Browser-based collaborative studio,"Online recording, loops, instruments, collaboration, and education use",Global,Spotify-backed online studio,Freemium / subscription,Spotify,"Research browser creation, collaboration, and education workflows",3,4,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Represents low-friction creation after or alongside learning, especially for schools and casual creators.",Online music studio for making and collaborating on music in the browser.,"Track Soundtrap education, web creation features, and Spotify ecosystem moves.",browser DAW | collaboration | Spotify,Public product/education sources linked; needs usage data,Similarweb | Company source,Creator ecosystem,TRUE,FALSE,"Soundtrap evidence now includes official creation and education sources validating browser-based studio, school workflows, loops, instruments, and collaboration.",soundtrap_official | soundtrap_education,Soundtrap | Soundtrap for Education,https://www.soundtrap.com/musicmakers | https://schools.soundtrap.com/edu/,Education adoption | Spotify integration direction | AI feature roadmap
fl-studio,FL Studio,Company / product,creation,Creation & production tools,Hobby expansion,Accessible production platform,"DAW, mobile app, FL Cloud, web beta, and beginner-friendly production workflow",Global / Belgium,Major producer platform,"Paid software, cloud, and mobile",Image-Line,"Research browser DAW, AI-assisted production, and beginner creator onboarding",3,4,4,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Shapes the path from musical interest to beat-making, production, and creator identity.",Popular music production software known for fast beat-making and accessible creator workflows.,"Track FL Studio Web, FL Cloud, mobile workflows, and beginner onboarding.",DAW | production | creator,Needs product + web beta monitoring,Similarweb | Company source,Creator ecosystem,FALSE,FALSE,Official Image-Line and market-news sources validate FL Studio as a major accessible production platform moving toward cloud/web workflows.,fl_studio_official | fl_studio_web_news,FL Studio | FL Studio Web public beta signal,https://www.image-line.com/ | https://www.musicradar.com/music-tech/daws/fl-studio-is-coming-to-your-browser-image-line-announces-fl-studio-web-in-bid-to-lower-the-barrier-to-entry-for-new-users,FL Studio Web adoption | Beginner creator onboarding and AI assistance
soundcloud,SoundCloud,Company / product,creation,Creation & production tools,Hobby expansion,Artist and audio community platform,"Music hosting, discovery, creator community, and artist tools",Global,Large artist/audio community,"Subscription, ads, artist services",Private,"Research AI content policy, creator tools, recommendation, and artist identity",3,3,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Important for the creator identity side of the hobby and for how learners become publishers.,"Large online audio platform for artists, DJs, and audio creators to publish and discover music.","Track artist tools, AI policy, distribution services, and discovery shifts.",publishing | community | artists,Public company/app/artist sources linked; needs AI policy monitoring,Appfigures | Company source,Creator ecosystem,FALSE,FALSE,"SoundCloud evidence now includes company, artist-tool, and app-store sources validating creator community, artist distribution, audience tools, and mobile music sharing.",soundcloud_official | soundcloud_newsroom | soundcloud_for_artists_home | soundcloud_app_store,SoundCloud | SoundCloud newsroom | SoundCloud for Artists home | SoundCloud on App Store,https://soundcloud.com/ | https://soundcloud.com/company/newsroom | https://soundcloud.com/getstarted/home | https://apps.apple.com/us/app/soundcloud-the-music-you-love/id336353151,Current AI-content policy | Creator tool direction | Distribution strategy and artist economics
distrokid,DistroKid,Company / product,creation,Creation & production tools,Hobby expansion,Music distribution service,"Distribution to streaming platforms, artist tools, and creator monetization",Global / US,Large independent-artist distribution service,Annual subscription and add-on services,Private,"Research AI music distribution policies, metadata, and artist authenticity",3,3,4,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Marks the next step after creation: distribution, artist identity, analytics, and monetization.",Music distribution service for independent artists to release songs to streaming platforms.,"Track AI content rules, artist tools, and platform integrations.",distribution | artists | monetization,Public distribution/app sources linked; needs artist-count + policy monitoring,Appfigures | Company source,Creator ecosystem,TRUE,FALSE,"DistroKid evidence now includes official mobile app page and app-store sources for music distribution, release management, artist tools, and scale claims.",distrokid_official | distrokid_google_play | distrokid_app | distrokid_app_store,DistroKid | DistroKid on Google Play | DistroKid mobile app page | DistroKid on App Store,https://distrokid.com/ | https://play.google.com/store/apps/details?hl=en_US&id=com.distrokid.dk | https://distrokid.com/app/ | https://apps.apple.com/us/app/distrokid/id1548832265,AI music distribution policy | Artist count and retention | Creator-service attach rate
landr,LANDR,Company / product,creation,Creation & production tools,Hobby expansion,AI mastering and creator services,"AI mastering, distribution, plugins, samples, courses, and collaboration",Global / Canada,Broad creator services platform,Subscription and services,Private,"AI mastering, stem separation, and AI-content distribution policy",4,4,4,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Shows the bundled creator-services direction around AI, release workflows, and education.","Creator services platform spanning AI mastering, distribution, samples, plugins, and music courses.","Track AI mastering, distribution restrictions, stem tools, and course/service bundling.",AI mastering | distribution | creator services,Needs usage + distribution policy tracking,Audience source,Creator ecosystem,FALSE,FALSE,"Official LANDR sources validate bundled AI mastering, distribution, plugins, samples, courses, stem separation, and creator-service positioning.",landr_official | landr_mastering,LANDR | LANDR AI Mastering,https://www.landr.com/ | https://www.landr.com/online-audio-mastering,Distribution policy for AI-assisted content | Creator services attach rate
native-instruments,Native Instruments,Company / product,creation,Creation & production tools,Hobby expansion,Production software and hardware ecosystem,"Kontakt, Komplete, Maschine, Traktor, instruments, effects, and DJ tools",Global / Germany,Major producer technology brand,"Software, hardware, subscriptions, and bundles",Definitive agreement for inMusic to acquire Native Instruments announced May 2026; closing/status should be monitored,"Research production assistance, sound discovery, and the inMusic/Native Instruments integration roadmap",3,3,4,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Influences the creator tooling stack once learners move into production, sound design, and performance.","Music production software/hardware ecosystem for producers, sound designers, DJs, and musicians.","Track inMusic deal close, Komplete/Traktor accessibility, integration with Akai/Moog ecosystem, and AI tooling.",production | software | hardware,Official company plus acquisition-announcement sources linked; closing/status and roadmap need monitoring,Company source,Creator ecosystem,FALSE,FALSE,Official company and inMusic announcement sources validate the production software/hardware ecosystem and May 2026 definitive acquisition agreement; closing/status and product roadmap still need monitoring.,native_instruments_official | native_instruments_acquisition_news,Native Instruments | Native Instruments acquisition signal,https://www.native-instruments.com/en/ | https://www.inmusicbrands.com/press/inmusic-native/,Deal close / final ownership status after the May 2026 agreement | Effect on beginner/accessible production strategy
bandcamp,Bandcamp,Channel / hardware,creation,Creation & production tools,Hobby expansion,Direct-to-fan music marketplace,"Artist store, fan community, discovery, merch, and human-artist positioning",Global,Large independent music community,Marketplace and artist services,Songtradr,AI-content policy and human-authenticity positioning,3,3,4,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,Represents a human-artist and fan-support model that contrasts with streaming and AI-generated content.,Direct-to-fan marketplace and music community for artists and labels.,"Track direct-to-fan tools, AI policy, and artist/community positioning.",direct-to-fan | artists | marketplace,Needs ownership + AI policy monitoring,Crunchbase,Creator ecosystem,FALSE,FALSE,Official Bandcamp source validates direct-to-fan artist marketplace; AI-policy news marks strong human-authenticity positioning signal.,bandcamp_artists | bandcamp_ai_policy_news,Bandcamp for Artists | Bandcamp AI music policy signal,https://bandcamp.com/artists | https://pitchfork.com/news/bandcamp-announces-ban-on-ai-music,Policy enforcement details | Relevance to learning creators and teacher-musicians
lalal-ai,LALAL.AI,Company / product,ai,AI music & audio technology,Disruption layer,AI stem separation utility,"Vocal remover, instrumental isolation, and multi-stem extraction",Global,Visible AI audio utility,Credit/subscription AI audio service,To verify,Core AI stem separation and audio extraction,5,4,4,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Directly affects practice, karaoke, remixing, transcription, and learner-created backing tracks.",AI audio separation tool for removing vocals and extracting stems.,"Track DAW plugin, stem quality, pricing, and mobile app presence.",AI | stem separation | practice,Needs usage + app + DAW plugin monitoring,Appfigures,AI strategy,FALSE,FALSE,Official and Google Play sources validate LALAL.AI as an AI stem separation and vocal/instrumental isolation utility.,lalal_ai_official | lalal_ai_google_play,LALAL.AI | LALAL.AI on Google Play,https://www.lalal.ai/ | https://play.google.com/store/apps/details?hl=en_US&id=com.omnisale.lalal.ai,User scale | DAW plugin adoption | Fit with practice/backing-track workflows
aiva,AIVA,Company / product,ai,AI music & audio technology,Disruption layer,AI composition platform,"AI music generation, style models, editing, and licensing",Global / Europe,Established AI music generator,Freemium and subscription,To verify,Core AI music generation,5,3,3,FALSE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Useful older reference for AI composition, licensing positioning, and professional/creator workflows.",AI music generation assistant for creating songs across styles.,"Track model capabilities, licensing claims, and creator adoption.",AI | composition | licensing,Public product/download sources linked; needs usage + licensing validation,Appfigures | Audience source | Company source,AI strategy,TRUE,FALSE,"AIVA evidence now includes official product and download sources validating AI music generation, desktop tools, style models, editing, and licensing positioning.",aiva_official | aiva_download,AIVA | AIVA desktop download,https://www.aiva.ai/ | https://www.aiva.ai/download,Current creator adoption | Licensing confidence vs newer AI music players | Desktop vs browser workflow relevance
elevenlabs-music,ElevenLabs Music,Company / product,ai,AI music & audio technology,Disruption layer,AI music and audio platform,"Text-to-music, vocals, lyrics, instrumentals, and broader AI audio platform",Global / UK-US,High-profile AI audio company,AI platform and enterprise/API services,Private,Core AI music and audio generation,5,4,5,TRUE,Internal relationship status not yet captured in this dataset. To be completed by Yousician.,"Important because major AI audio platforms may enter music creation, rights, and creator tooling at scale.",AI audio platform expanding into full music generation from natural language prompts.,"Track Eleven Music, licensing posture, artist tools, and industry partnerships.",AI | music generation | audio platform,Needs licensing + adoption + policy monitoring,Manual research,AI strategy,FALSE,FALSE,Official ElevenLabs sources validate AI music generation and strategic expansion from broader AI audio into full music generation.,elevenlabs_music | eleven_music_blog | eleven_music_docs,ElevenLabs AI Music Generator | Eleven Music launch | Eleven Music documentation,https://elevenlabs.io/music | https://elevenlabs.io/blog/eleven-music-is-here | https://elevenlabs.io/docs/overview/capabilities/music,Licensing posture | Artist and label partnerships | Impact on casual music creation
